Ages,Feb,March,April,May,June,July,Aug,Feb,March,April,May,June,July,Aug,April,May,June,July,Aug,
0-17,NaN,NaN,NaN,NaN,NaN,647.76,1226.97,NaN,NaN,NaN,NaN,NaN,723.64,914.16,NaN,NaN,NaN,530.22,984.23,
18-29,NaN,NaN,NaN,1354.55,563.56,1055.33,1832.9,NaN,NaN,NaN,1023.19,860.67,2138.61,NaN,NaN,1117.74,647.2,NaN,1577.38,
30-39,NaN,NaN,NaN,NaN,691.16,1212.1,2176.17,NaN,NaN,NaN,NaN,1100.8,2422.32,2566.65,NaN,NaN,NaN,NaN,2155.84,
40-49,NaN,NaN,NaN,NaN,NaN,1329.07,2673.17,NaN,NaN,NaN,NaN,NaN,3067.03,3979.14,NaN,NaN,NaN,NaN,2666.94,
50-64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7057.19,NaN,NaN,NaN,NaN,NaN,
65-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12208.21,
75-84,NaN,NaN,16935.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41316.18,NaN,NaN,NaN,NaN,
85-plus,11613.29,13180.95,48186.09,15972.39,NaN,NaN,NaN,NaN,11695.32,18021.66,NaN,NaN,NaN,NaN,55443.25,13326.06,NaN,NaN,NaN,
0-17,NaN,NaN,NaN,NaN,NaN,0.00209,0.00683,NaN,NaN,NaN,NaN,NaN,0.00404,0.00376,NaN,NaN,NaN,NaN,NaN,0.00418
18-29,NaN,NaN,NaN,0.00153,0.00109,0.00335,0.0101,NaN,NaN,NaN,0.00197,0.00275,0.01177,NaN,NaN,NaN,NaN,NaN,NaN,0.004651429
30-39,NaN,NaN,NaN,NaN,0.00132,0.00385,0.01198,NaN,NaN,NaN,NaN,0.0035,0.01333,0.01045,NaN,NaN,NaN,NaN,NaN,0.007405
40-49,NaN,NaN,NaN,NaN,NaN,0.00422,0.01472,NaN,NaN,NaN,NaN,NaN,0.01688,0.0162,NaN,NaN,NaN,NaN,NaN,0.013005
50-64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02873,NaN,NaN,NaN,NaN,NaN,0.02873
65-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.64231,0.64231
75-84,NaN,NaN,0.0222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06041,NaN,NaN,NaN,NaN,0.041305
85-plus,0.0438,0.02866,0.06316,0.01788,NaN,NaN,NaN,NaN,0.01533,0.02017,NaN,NaN,NaN,NaN,0.08106,0.09534,NaN,NaN,NaN,0.045675
Total vax,26512804,45991745,76292536,89355727,52528423,31466525,18165654,45991745,76292536,89355727,52528423,31466525,18165654,24567988,68396146,13976806,4828493,3049434,1900683,
,,,,,,,,,,,,,,,,,,,,
Ages,Feb,March,April,May,June,July,Aug,Feb,March,April,May,June,July,Aug,April,May,June,July,Aug,
0-17,NaN,NaN,NaN,NaN,NaN,647.76,1226.97,NaN,NaN,NaN,NaN,NaN,723.64,NaN,NaN,NaN,NaN,530.22,984.23,
18-29,NaN,NaN,NaN,1354.55,NaN,NaN,NaN,NaN,NaN,NaN,1023.19,860.67,2138.61,NaN,NaN,1117.74,NaN,NaN,NaN,
30-39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1100.8,2422.32,2566.65,NaN,NaN,NaN,NaN,NaN,
40-49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3067.03,3979.14,NaN,NaN,NaN,NaN,NaN,
50-64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
65-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
75-84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41316.18,NaN,NaN,NaN,NaN,
85-plus,11613.29,13180.95,48186.09,NaN,NaN,NaN,NaN,NaN,NaN,18021.66,NaN,NaN,NaN,NaN,55443.25,13326.06,NaN,NaN,NaN,
0-17,NaN,NaN,NaN,NaN,NaN,0.00209,0.00683,NaN,NaN,NaN,NaN,NaN,0.00404,NaN,NaN,NaN,NaN,NaN,NaN,0.00432
18-29,NaN,NaN,NaN,0.00153,NaN,NaN,NaN,NaN,NaN,NaN,0.00197,0.00275,0.01177,NaN,NaN,NaN,NaN,NaN,NaN,0.004505
30-39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0035,0.01333,0.01045,NaN,NaN,NaN,NaN,NaN,0.009093333
40-49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01688,0.0162,NaN,NaN,NaN,NaN,NaN,0.01654
50-64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#DIV/0!
65-74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#DIV/0!
75-84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06041,NaN,NaN,NaN,NaN,0.06041
85-plus,0.0438,0.02866,0.06316,NaN,NaN,NaN,NaN,NaN,NaN,0.02017,NaN,NaN,NaN,NaN,0.08106,0.09534,NaN,NaN,NaN,0.055365